,CustomerID,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus,Tenure_grp,Churned,city_type,Satisfaction,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
62,50063,Mobile Phone,Credit Card,Male,Others,Single,Tenure_24-48,No,City,High,20.0,3.0,2,9,11.0,0.0,2.0,15.0,287.22
63,50064,Computer,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,8.0,2.0,4,2,17.0,0.0,1.0,9.0,195.47
64,50065,Mobile Phone,Credit Card,Female,Grocery,Single,Tenure_12-24,No,City,High,9.0,3.0,3,4,18.0,0.0,0.0,0.0,237.33999999999997
65,50066,Mobile Phone,Debit Card,Male,Others,Divorced,Tenure_24-48,No,City,Average,6.0,3.0,4,1,0.0,1.0,11.0,9.0,299.99
66,50067,Phone,CC,Female,Mobile,Single,Tenure_0-12,No,City,High,15.0,2.0,3,2,16.0,1.0,1.0,3.0,122.78999999999999
67,50068,Mobile Phone,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,Yes,City,Average,29.0,2.0,4,4,13.0,1.0,1.0,1.0,159.16
68,50069,Computer,CC,Male,Mobile,Married,Tenure_0-12,No,City,Low,13.0,2.0,2,5,14.0,0.0,2.0,2.0,120.88999999999999
69,50070,Computer,Credit Card,Male,Grocery,Divorced,Tenure_12-24,No,City,Low,8.0,3.0,4,10,23.0,0.0,11.0,8.0,267.92
70,50071,Phone,Debit Card,Male,Mobile Phone,Divorced,Tenure_0-12,No,City,Very High,27.0,3.0,2,2,12.0,0.0,1.0,7.0,135.64
71,50072,Computer,Credit Card,Female,Laptop & Accessory,Single,Tenure_0-12,No,City,High,8.0,2.0,3,6,11.0,1.0,1.0,2.0,144.25
72,50073,Computer,Credit Card,Female,Laptop & Accessory,Married,Tenure_12-24,No,City,Average,27.0,2.0,3,3,16.0,0.0,1.0,2.0,152.65
73,50074,Mobile Phone,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,8.0,2.0,3,10,14.0,0.0,1.0,0.0,165.53
74,50075,Mobile Phone,COD,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Low,35.0,2.0,3,4,18.0,0.0,1.0,7.0,162.61
75,50076,Computer,COD,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Very High,6.0,2.0,4,6,19.0,0.0,2.0,0.0,142.98
76,50077,Computer,Debit Card,Male,Laptop & Accessory,Married,Tenure_12-24,No,City,Low,24.0,3.0,3,2,15.0,0.0,1.0,7.0,168.04
77,50078,Computer,Credit Card,Male,Mobile Phone,Married,Tenure_0-12,No,City,Average,16.0,2.0,3,2,17.0,2.0,2.0,0.0,138.15
78,50079,Phone,CC,Male,Laptop & Accessory,Divorced,Tenure_12-24,No,City,Low,25.0,0.0,3,9,15.0,1.0,3.0,7.0,127.41
79,50080,Mobile Phone,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,Yes,City,Very High,35.0,3.0,3,8,19.0,0.0,1.0,0.0,166.73
80,50081,Mobile Phone,E wallet,Female,Fashion,Divorced,Tenure_0-12,Yes,Rural,Low,33.0,2.0,3,2,22.0,1.0,1.0,9.0,176.39
81,50082,Phone,Debit Card,Male,Mobile,Married,Tenure_0-12,No,City,High,0.0,2.0,2,2,16.0,0.0,2.0,2.0,123.28
82,50083,Computer,CC,Female,Mobile,Single,Tenure_0-12,No,City,Low,24.0,3.0,3,2,13.0,1.0,1.0,7.0,121.53
83,50084,Computer,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_12-24,No,City,Low,15.0,3.0,4,10,14.0,1.0,1.0,2.0,148.76
84,50085,Mobile Phone,Credit Card,Male,Fashion,Married,Tenure_12-24,No,City,Very High,6.0,3.0,3,8,16.0,0.0,1.0,3.0,193.96
85,50086,Mobile Phone,Credit Card,Male,Fashion,Divorced,Tenure_0-12,Yes,Rural,Low,10.0,2.0,5,2,11.0,7.0,9.0,8.0,204.0
86,50087,Computer,Debit Card,Male,Fashion,Single,Tenure_0-12,No,City,Average,6.0,2.0,4,2,22.0,2.0,5.0,8.0,184.74
87,50088,Computer,Debit Card,Female,Laptop & Accessory,Single,Tenure_0-12,No,Rural,Average,26.0,2.0,3,2,14.0,1.0,1.0,7.0,199.81
88,50089,Mobile Phone,Debit Card,Male,Fashion,Divorced,Tenure_12-24,No,City,High,14.0,2.0,4,6,16.0,1.0,4.0,0.0,224.89999999999998
89,50090,Phone,COD,Female,Mobile,Single,Tenure_0-12,Yes,City,Very High,0.0,2.0,3,6,11.0,1.0,1.0,4.0,126.57
90,50091,Mobile Phone,Debit Card,Female,Fashion,Single,Tenure_12-24,No,Rural,Low,12.0,3.0,3,4,18.0,0.0,0.0,0.0,235.91000000000003
91,50092,Computer,E wallet,Female,Laptop & Accessory,Single,Tenure_0-12,Yes,Rural,Very High,32.0,2.0,4,6,15.0,0.0,1.0,1.0,166.96
92,50093,Phone,Cash on Delivery,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,6.0,2.0,3,1,14.0,0.0,1.0,5.0,120.58000000000001
93,50094,Computer,Credit Card,Female,Fashion,Single,Tenure_12-24,No,Rural,Low,12.0,2.0,4,7,12.0,12.0,12.0,8.0,188.65
94,50095,Mobile Phone,E wallet,Female,Laptop & Accessory,Divorced,Tenure_24-48,No,Rural,Very High,9.0,2.0,3,3,14.0,1.0,1.0,5.0,159.4
95,50096,Mobile Phone,Debit Card,Male,Laptop & Accessory,Single,Tenure_0-12,No,City,High,11.0,3.0,3,9,16.0,0.0,3.0,7.0,159.14
96,50097,Phone,CC,Female,Mobile,Divorced,Tenure_0-12,No,City,High,0.0,2.0,4,7,21.0,0.0,1.0,1.0,126.22
97,50098,Computer,UPI,Male,Fashion,Married,Tenure_0-12,No,City,Low,17.0,2.0,3,2,14.0,0.0,1.0,0.0,221.85000000000002
98,50099,Mobile Phone,Debit Card,Male,Fashion,Married,Tenure_0-12,No,Rural,Average,9.0,3.0,3,1,12.0,1.0,5.0,13.0,206.08999999999997
99,50100,Computer,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,6.0,2.0,5,1,12.0,1.0,1.0,4.0,143.45
100,50101,Phone,Debit Card,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,9.0,3.0,4,4,17.0,0.0,1.0,0.0,121.77000000000001
101,50102,Computer,E wallet,Male,Mobile Phone,Married,Tenure_0-12,No,Rural,Low,10.0,2.0,3,5,17.0,1.0,5.0,8.0,0.0
102,50103,Computer,Credit Card,Female,Fashion,Divorced,Tenure_0-12,No,Rural,Low,6.0,2.0,3,2,14.0,4.0,4.0,1.0,179.18
103,50104,Computer,E wallet,Female,Fashion,Single,Tenure_0-12,No,Rural,Average,6.0,3.0,3,2,14.0,1.0,1.0,8.0,187.89
104,50105,Phone,CC,Male,Mobile,Single,Tenure_0-12,Yes,City,Low,0.0,2.0,4,2,13.0,0.0,1.0,1.0,123.88999999999999
105,50106,Phone,Debit Card,Female,Mobile,Single,Tenure_24-48,No,City,Low,8.0,2.0,4,8,15.0,0.0,2.0,2.0,132.12
106,50107,Mobile Phone,Cash on Delivery,Male,Others,Divorced,Tenure_12-24,No,City,Low,10.0,2.0,3,2,0.0,0.0,11.0,15.0,292.32
107,50108,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,No,Semi_urban,Average,12.0,2.0,3,9,17.0,2.0,2.0,2.0,122.66999999999999
108,50109,Mobile Phone,Credit Card,Female,Others,Married,Tenure_12-24,No,Rural,Low,6.0,3.0,3,4,0.0,1.0,1.0,6.0,295.17
109,50110,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,Yes,City,Low,0.0,2.0,3,6,13.0,0.0,1.0,4.0,124.36000000000001
110,50111,Mobile Phone,E wallet,Female,Grocery,Divorced,Tenure_12-24,No,Rural,Low,22.0,3.0,3,6,22.0,0.0,0.0,9.0,260.64
111,50112,Phone,Debit Card,Female,Mobile,Divorced,Tenure_0-12,Yes,City,Very High,8.0,0.0,3,8,20.0,1.0,1.0,7.0,127.07
112,50113,Computer,Debit Card,Male,Others,Single,Tenure_24-48,No,Rural,Average,8.0,3.0,4,2,18.0,0.0,15.0,12.0,290.68
113,50114,Phone,Debit Card,Female,Mobile Phone,Divorced,Tenure_0-12,No,Rural,High,10.0,2.0,3,3,11.0,1.0,1.0,2.0,139.31
114,50115,Phone,Debit Card,Male,Mobile Phone,Single,Tenure_0-12,Yes,City,Average,6.0,3.0,4,1,14.0,1.0,1.0,2.0,137.3
115,50116,Phone,CC,Female,Mobile,Married,Tenure_0-12,No,City,Average,6.0,3.0,3,8,14.0,0.0,1.0,2.0,122.32
116,50117,Computer,E wallet,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,Rural,Low,32.0,3.0,3,1,18.0,1.0,2.0,2.0,144.65
117,50118,Phone,Debit Card,Male,Laptop & Accessory,Married,Tenure_12-24,No,City,Very High,25.0,0.0,3,3,16.0,1.0,1.0,0.0,130.72
118,50119,Phone,COD,Male,Laptop & Accessory,Married,Tenure_12-24,No,City,Low,30.0,3.0,3,2,17.0,2.0,4.0,7.0,133.19
119,50120,Mobile Phone,UPI,Male,Others,Divorced,Tenure_12-24,No,City,Low,6.0,3.0,2,1,0.0,1.0,1.0,7.0,292.02
120,50121,Computer,Credit Card,Male,Fashion,Married,Tenure_0-12,No,City,Average,9.0,3.0,3,10,12.0,1.0,0.0,2.0,236.75
121,50122,Phone,Debit Card,Female,Mobile,Divorced,Tenure_0-12,No,City,Low,11.0,0.0,4,2,13.0,0.0,1.0,2.0,129.11
122,50123,Mobile Phone,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Very High,8.0,2.0,4,7,13.0,0.0,5.0,9.0,159.57
123,50124,Phone,Credit Card,Female,Mobile Phone,Divorced,Tenure_0-12,No,City,Very High,6.0,2.0,4,3,14.0,1.0,1.0,2.0,139.2
124,50125,Computer,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_12-24,No,City,Average,13.0,3.0,2,5,17.0,0.0,1.0,2.0,164.34
125,50126,Computer,Credit Card,Male,Fashion,Married,Tenure_0-12,Yes,City,Average,16.0,3.0,3,7,11.0,1.0,1.0,0.0,200.48
126,50127,Computer,Cash on Delivery,Female,Fashion,Single,Tenure_0-12,No,City,Average,8.0,3.0,3,1,25.0,10.0,11.0,0.0,209.38
127,50128,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,No,City,Low,0.0,2.0,3,2,19.0,0.0,1.0,5.0,123.4
128,50129,Mobile Phone,Debit Card,Female,Laptop & Accessory,Single,Tenure_12-24,No,City,Very High,23.0,2.0,2,4,13.0,0.0,1.0,2.0,165.45
129,50130,Mobile Phone,E wallet,Male,Laptop & Accessory,Married,Tenure_0-12,No,Rural,Low,26.0,2.0,3,3,14.0,1.0,1.0,2.0,169.31
130,50131,Phone,Debit Card,Female,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Average,6.0,3.0,3,1,12.0,1.0,1.0,2.0,148.98
131,50132,Phone,CC,Female,Mobile,Married,Tenure_12-24,No,City,Very High,0.0,2.0,4,1,11.0,4.0,7.0,8.0,125.93
132,50133,Mobile Phone,Credit Card,Male,Others,Married,Tenure_12-24,No,City,Average,8.0,2.0,3,1,0.0,0.0,3.0,9.0,294.36
133,50134,Phone,Debit Card,Male,Mobile,Divorced,Tenure_12-24,No,City,Low,6.0,0.0,3,2,11.0,1.0,1.0,0.0,127.22999999999999
134,50135,Computer,CC,Male,Mobile,Single,Tenure_0-12,Yes,City,High,35.0,3.0,4,1,11.0,1.0,1.0,4.0,134.79
135,50136,Computer,Debit Card,Male,Mobile,Divorced,Tenure_0-12,No,City,High,13.0,0.0,2,2,20.0,0.0,1.0,3.0,127.94
136,50137,Computer,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,Rural,Low,8.0,2.0,4,4,18.0,6.0,7.0,5.0,152.49
137,50138,Phone,Cash on Delivery,Male,Laptop & Accessory,Single,Tenure_0-12,No,City,Very High,8.0,2.0,4,5,13.0,0.0,1.0,4.0,121.75999999999999
138,50139,Mobile Phone,Cash on Delivery,Female,Grocery,Divorced,Tenure_12-24,No,Rural,High,8.0,3.0,5,4,12.0,0.0,7.0,7.0,268.72
139,50140,Phone,Debit Card,Male,Mobile,Single,Tenure_0-12,Yes,City,Average,8.0,3.0,3,3,11.0,1.0,1.0,0.0,134.85
140,50141,Mobile Phone,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,Rural,High,8.0,3.0,4,3,19.0,0.0,1.0,0.0,166.44
141,50142,Mobile Phone,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Low,29.0,3.0,4,1,21.0,1.0,7.0,8.0,155.82
142,50143,Computer,Debit Card,Male,Laptop & Accessory,Married,Tenure_0-12,No,City,Very High,11.0,2.0,2,2,12.0,1.0,1.0,5.0,140.0
143,50144,Mobile Phone,Credit Card,Male,Grocery,Divorced,Tenure_12-24,No,City,Low,26.0,3.0,3,1,14.0,0.0,0.0,10.0,234.95999999999998
144,50145,Phone,Debit Card,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,12.0,2.0,3,1,11.0,4.0,10.0,11.0,132.1
145,50146,Mobile Phone,Credit Card,Male,Others,Single,Tenure_24-48,No,City,Very High,6.0,2.0,3,1,14.0,0.0,4.0,13.0,290.45
146,50147,Computer,Debit Card,Male,Fashion,Divorced,Tenure_0-12,Yes,City,High,35.0,2.0,3,2,12.0,5.0,9.0,0.0,218.49
147,50148,Phone,CC,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,15.0,3.0,3,2,23.0,1.0,1.0,4.0,120.69999999999999
148,50149,Mobile Phone,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,Rural,Low,12.0,3.0,3,5,14.0,0.0,1.0,1.0,165.02
149,50150,Phone,CC,Male,Mobile,Single,Tenure_0-12,No,City,Average,9.0,3.0,4,2,17.0,1.0,1.0,0.0,132.3
150,50151,Computer,Credit Card,Female,Fashion,Married,Tenure_0-12,No,City,Low,6.0,0.0,3,3,18.0,0.0,0.0,2.0,236.02999999999997
151,50152,Mobile Phone,Debit Card,Female,Fashion,Married,Tenure_0-12,No,City,High,28.0,3.0,2,8,18.0,5.0,6.0,0.0,219.95999999999998
152,50153,Mobile Phone,Credit Card,Female,Laptop & Accessory,Married,Tenure_0-12,No,Rural,Very High,13.0,2.0,2,2,24.0,0.0,7.0,7.0,156.05
153,50154,Computer,Debit Card,Female,Laptop & Accessory,Married,Tenure_0-12,No,City,High,6.0,2.0,3,2,20.0,0.0,1.0,4.0,163.97
154,50155,Mobile Phone,Debit Card,Male,Others,Married,Tenure_12-24,No,City,High,10.0,3.0,3,4,14.0,0.0,1.0,6.0,291.44
155,50156,Mobile Phone,Credit Card,Male,Grocery,Divorced,Tenure_24-48,No,City,Average,9.0,2.0,3,4,16.0,0.0,1.0,3.0,275.84
156,50157,Phone,Debit Card,Male,Laptop & Accessory,Divorced,Tenure_12-24,No,Rural,Average,6.0,2.0,3,2,25.0,4.0,11.0,6.0,149.07
157,50158,Computer,Debit Card,Male,Laptop & Accessory,Single,Tenure_0-12,No,Rural,Low,8.0,2.0,3,2,18.0,0.0,1.0,9.0,145.54
158,50159,Mobile Phone,COD,Male,Laptop & Accessory,Divorced,Tenure_24-48,No,City,Low,26.0,2.0,3,4,19.0,1.0,1.0,8.0,154.15
159,50160,Computer,Credit Card,Male,Laptop & Accessory,Divorced,Tenure_0-12,No,City,Very High,17.0,2.0,3,2,13.0,2.0,3.0,3.0,147.41
160,50161,Phone,Debit Card,Female,Mobile,Single,Tenure_0-12,No,City,Low,6.0,2.0,3,2,12.0,1.0,5.0,7.0,121.15
161,50162,Computer,Debit Card,Male,Mobile,Married,Tenure_0-12,Yes,City,Average,30.0,0.0,3,4,22.0,0.0,1.0,0.0,131.61
162,50163,Mobile Phone,Debit Card,Male,Laptop & Accessory,Married,Tenure_0-12,No,City,Low,29.0,2.0,3,10,14.0,0.0,1.0,2.0,157.45
163,50164,Phone,CC,Male,Mobile,Married,Tenure_0-12,Yes,City,High,0.0,2.0,3,3,13.0,1.0,1.0,2.0,123.72999999999999
164,50165,Phone,Debit Card,Female,Mobile,Single,Tenure_0-12,No,City,Low,14.0,3.0,3,2,21.0,0.0,1.0,2.0,133.1
165,50166,Computer,Debit Card,Female,Others,Single,Tenure_12-24,No,City,Very High,16.0,2.0,3,10,11.0,0.0,1.0,2.0,286.65
166,50167,Phone,COD,Male,Laptop & Accessory,Single,Tenure_0-12,No,City,High,9.0,1.0,3,5,12.0,6.0,7.0,7.0,144.85
167,50168,Computer,E wallet,Female,Mobile,Married,Tenure_0-12,No,Rural,High,11.0,0.0,3,2,11.0,0.0,2.0,2.0,127.88999999999999
168,50169,Mobile Phone,E wallet,Male,Laptop & Accessory,Single,Tenure_0-12,Yes,Rural,Low,10.0,2.0,4,2,12.0,7.0,7.0,4.0,158.28
169,50170,Computer,CC,Male,Mobile,Divorced,Tenure_0-12,No,City,Low,0.0,2.0,3,2,12.0,0.0,1.0,2.0,123.25999999999999
170,50171,Computer,E wallet,Female,Grocery,Divorced,Tenure_12-24,No,Rural,High,32.0,3.0,3,6,14.0,2.0,0.0,8.0,235.25
171,50172,Mobile Phone,Debit Card,Male,Mobile Phone,Single,Tenure_0-12,Yes,City,Average,9.0,2.0,3,2,13.0,0.0,1.0,0.0,114.19999999999999
